Exercise,Category,BodyPart,Equipment,Difficulty,Stimulus-to-Fatigue,Expected Time,Hypertrophy Rating
Bench Press With Short Bands,Powerlifting,Chest,Bands,Beginner,0.81788387,15.51808914,0.596123932
Hip Lift with Band,Powerlifting,Glutes,Bands,Beginner,0.768902475,14.6553513,0.623237253
Band Good Morning (Pull Through),Powerlifting,Hamstrings,Bands,Beginner,0.792188274,16.29235806,0.601159459
Speed Box Squat,Powerlifting,Quadriceps,Bands,Intermediate,0.59904402,17.10978086,0.800347358
Partner plank band row,Strength,Abdominals,Bands,Intermediate,0.730725729,14.21272723,0.461564602
Banded crunch isometric hold,Strength,Abdominals,Bands,Intermediate,0.716054971,12.61963368,0.416539439
FYR Banded Plank Jack,Strength,Abdominals,Bands,Intermediate,0.766784929,12.60406319,0.534896614
Banded crunch,Strength,Abdominals,Bands,Intermediate,0.76502246,12.99674976,0.464355301
Crunch,Strength,Abdominals,Bands,Intermediate,0.710540694,14.82469614,0.494664865
Decline band press sit-up,Strength,Abdominals,Bands,Intermediate,0.764132644,13.95302092,0.437803585
FYR2 Banded Frog Pump,Strength,Abdominals,Bands,Intermediate,0.735745495,15.3336628,0.431132968
Band low-to-high twist,Strength,Abdominals,Bands,Intermediate,0.759006694,14.97845757,0.514260836
Band Hip Adductions,Strength,Adductors,Bands,Beginner,0.903389515,12.09091077,0.27874608
Lateral Band Walk,Strength,Abductors,Bands,Intermediate,0.807674714,14.2264801,0.503098126
FYR2 Standing Banded Leg Abduction,Strength,Abductors,Bands,Intermediate,0.76040488,15.33623259,0.441993595
Incline dumbbell biceps curl,Strength,Biceps,Bands,Intermediate,0.753562504,14.63996427,0.450824722
Banded biceps curl in squat position,Strength,Biceps,Bands,Intermediate,0.744607983,14.36930235,0.458119194
Banded Hammer Press - Gethin Variation,Strength,Biceps,Bands,Intermediate,0.746192486,15.35429487,0.449688922
Band standing concentration curl,Strength,Biceps,Bands,Intermediate,0.744947778,15.98810495,0.453425641
Calf Raises - With Bands,Strength,Calves,Bands,Beginner,0.895973013,13.63511144,0.366725376
Cross Over - With Bands,Strength,Chest,Bands,Beginner,0.934306854,10.82316788,0.363095656
Bench Press - With Bands,Strength,Chest,Bands,Beginner,0.863968292,14.09709294,0.32652329
Feet-Elevated TRX Push-Up,Strength,Chest,Bands,Beginner,0.860391262,12.10647018,0.297798736
Band-suspended kettlebell bench press,Strength,Chest,Bands,Intermediate,0.738674322,14.5311367,0.498573322
HM Banded Cross-Over Pull,Strength,Chest,Bands,Intermediate,0.696359619,14.88677091,0.495941334
