order_date,requested_delivery_date,Customer Country Code,Product Code,Description,order_type,Customer Order Code,value,Curr,items,Route
13.07.2009,28.01.2010,RU,L10705000,Parka Outdoor Lifestyle STD,VO,3200435553,2337,RUB,6,RU0001
15.07.2009,24.03.2010,RU,L10705000,Parka Outdoor Lifestyle STD,VO,3200435694,10160.25,RUB,23,RU0001
16.07.2009,04.02.2010,RU,L10705000,Parka Outdoor Lifestyle STD,VO,3200435741,2992.5,RUB,7,RU0001
17.07.2009,04.02.2010,RU,L10705000,Parka Outdoor Lifestyle STD,VO,3200435907,4061.25,RUB,9,RU0001
21.07.2009,01.02.2010,RU,L10705000,Parka Outdoor Lifestyle STD,VO,3200435963,2208.75,RUB,5,RU0001
20.07.2009,01.02.2010,RU,L10705000,Parka Outdoor Lifestyle STD,VO,3200435982,2173.12,RUB,5,RU0001
20.07.2009,28.01.2010,RU,L10705000,Parka Outdoor Lifestyle STD,VO,3200436075,3344,RUB,8,RU0001
20.07.2009,01.02.2010,RU,L10705000,Parka Outdoor Lifestyle STD,VO,3200436082,3158.75,RUB,7,RU0001
21.07.2009,04.02.2010,RU,L10705000,Parka Outdoor Lifestyle STD,VO,3200436158,7068,RUB,16,RU0001
21.07.2009,01.02.2010,RU,L10705000,Parka Outdoor Lifestyle STD,VO,3200436332,2550.75,RUB,6,RU0001
24.07.2009,28.01.2010,RU,L10705000,Parka Outdoor Lifestyle STD,VO,3200436827,2493.75,RUB,6,RU0001
27.07.2009,28.01.2010,RU,L10705000,Parka Outdoor Lifestyle STD,VO,3200437332,2137.5,RUB,5,RU0001
30.07.2009,24.03.2010,RU,L10705000,Parka Outdoor Lifestyle STD,VO,3200437769,2173.1,RUB,5,RU0001
31.07.2009,04.02.2010,RU,L10705000,Parka Outdoor Lifestyle STD,VO,3200437913,5742.75,RUB,13,RU0001
07.08.2009,01.02.2010,RU,L10705000,Parka Outdoor Lifestyle STD,VO,3200438980,21612.5,RUB,50,RU0001
21.08.2009,15.03.2010,DK,L10705000,Parka Outdoor Lifestyle STD,VO,3200440731,199.68,DKK,2,DK01FR
24.08.2009,05.04.2010,NO,L10705000,Parka Outdoor Lifestyle STD,VO,3200440953,613.93,NOK,5,NO02FR
27.08.2009,22.02.2010,NO,L10705000,Parka Outdoor Lifestyle STD,VO,3200441474,254.77,NOK,2,NO02FR
07.09.2009,08.03.2010,NO,L10705000,Parka Outdoor Lifestyle STD,VO,3200442951,495.15,NOK,4,NO02FR
08.09.2009,01.03.2010,NO,L10705000,Parka Outdoor Lifestyle STD,VO,3200443192,608.16,NOK,5,NO02FR
09.09.2009,08.03.2010,FI,L10705000,Parka Outdoor Lifestyle STD,VO,3200445041,57.42,EUR,6,FI01FR
09.09.2009,09.03.2010,FI,L10705000,Parka Outdoor Lifestyle STD,VO,3200445097,79.28,EUR,8,FI01FR
09.09.2009,08.03.2010,FI,L10705000,Parka Outdoor Lifestyle STD,VO,3200445210,7.88,EUR,1,FI01FR
07.09.2009,01.04.2010,NL,L10705000,Parka Outdoor Lifestyle STD,VO,3200516115,0,EUR,\N,BE0001
08.09.2009,01.04.2010,ES,L10705000,Parka Outdoor Lifestyle STD,VO,3200521379,0,EUR,\N,SP0003
08.07.2009,28.01.2010,RU,L10705100,Parka Outdoor Lifestyle STD,VO,3200435289,2650.5,RUB,6,RU0001
13.07.2009,28.01.2010,RU,L10705100,Parka Outdoor Lifestyle STD,VO,3200435553,3505.5,RUB,9,RU0001
15.07.2009,01.02.2010,RU,L10705100,Parka Outdoor Lifestyle STD,VO,3200435675,4061.25,RUB,9,RU0001
16.07.2009,15.02.2010,RU,L10705100,Parka Outdoor Lifestyle STD,VO,3200435800,7068,RUB,16,RU0001
21.07.2009,28.01.2010,RU,L10705100,Parka Outdoor Lifestyle STD,VO,3200436140,3966.25,RUB,10,RU0001
24.07.2009,28.01.2010,RU,L10705100,Parka Outdoor Lifestyle STD,VO,3200436827,2493.75,RUB,6,RU0001
24.07.2009,01.02.2010,RU,L10705100,Parka Outdoor Lifestyle STD,VO,3200436831,6184.5,RUB,14,RU0001
31.07.2009,04.02.2010,RU,L10705100,Parka Outdoor Lifestyle STD,VO,3200437913,5742.75,RUB,13,RU0001
21.08.2009,15.03.2010,DK,L10705100,Parka Outdoor Lifestyle STD,VO,3200440731,399.36,DKK,4,DK01FR
19.08.2009,10.06.2010,IT,L10705100,Parka Outdoor Lifestyle STD,VO,3200494282,91.2,EUR,8,IT0000
08.07.2009,28.01.2010,RU,L10705200,Parka Outdoor Lifestyle STD,VO,3200435289,2650.5,RUB,6,RU0001
17.07.2009,04.02.2010,RU,L10705200,Parka Outdoor Lifestyle STD,VO,3200435907,4061.25,RUB,9,RU0001
21.07.2009,01.02.2010,RU,L10705200,Parka Outdoor Lifestyle STD,VO,3200435963,2208.75,RUB,5,RU0001
20.07.2009,01.02.2010,RU,L10705200,Parka Outdoor Lifestyle STD,VO,3200435982,2173.12,RUB,5,RU0001
20.07.2009,04.02.2010,RU,L10705200,Parka Outdoor Lifestyle STD,VO,3200436071,4275,RUB,10,RU0001
20.07.2009,28.01.2010,RU,L10705200,Parka Outdoor Lifestyle STD,VO,3200436075,2090,RUB,5,RU0001
21.07.2009,28.01.2010,RU,L10705200,Parka Outdoor Lifestyle STD,VO,3200436140,3966.25,RUB,10,RU0001
21.07.2009,01.02.2010,RU,L10705200,Parka Outdoor Lifestyle STD,VO,3200436332,2550.75,RUB,6,RU0001
24.07.2009,01.02.2010,RU,L10705200,Parka Outdoor Lifestyle STD,VO,3200436825,4417.5,RUB,10,RU0001
24.07.2009,28.01.2010,RU,L10705200,Parka Outdoor Lifestyle STD,VO,3200436827,2493.75,RUB,6,RU0001
28.07.2009,04.02.2010,RU,L10705200,Parka Outdoor Lifestyle STD,VO,3200437599,7671.25,RUB,17,RU0001
31.07.2009,04.02.2010,RU,L10705200,Parka Outdoor Lifestyle STD,VO,3200437913,5742.75,RUB,13,RU0001
21.08.2009,15.03.2010,DK,L10705200,Parka Outdoor Lifestyle STD,VO,3200440731,399.36,DKK,4,DK01FR
03.09.2009,03.05.2010,IT,L10705200,Parka Outdoor Lifestyle STD,VO,3200511061,46.8,EUR,5,IT0000
14.07.2009,28.01.2010,RU,L10705300,Parka Outdoor Lifestyle STD,VO,3200435605,3847.5,RUB,9,RU0001
15.07.2009,01.02.2010,RU,L10705300,Parka Outdoor Lifestyle STD,VO,3200435675,3610,RUB,8,RU0001
15.07.2009,24.03.2010,RU,L10705300,Parka Outdoor Lifestyle STD,VO,3200435694,10160.25,RUB,23,RU0001
16.07.2009,04.02.2010,RU,L10705300,Parka Outdoor Lifestyle STD,VO,3200435741,2992.5,RUB,7,RU0001
17.07.2009,04.02.2010,RU,L10705300,Parka Outdoor Lifestyle STD,VO,3200435907,2256.25,RUB,5,RU0001
20.07.2009,01.02.2010,RU,L10705300,Parka Outdoor Lifestyle STD,VO,3200435982,2173.12,RUB,5,RU0001
20.07.2009,04.02.2010,RU,L10705300,Parka Outdoor Lifestyle STD,VO,3200436071,4275,RUB,10,RU0001
20.07.2009,28.01.2010,RU,L10705300,Parka Outdoor Lifestyle STD,VO,3200436075,2926,RUB,7,RU0001
20.07.2009,01.02.2010,RU,L10705300,Parka Outdoor Lifestyle STD,VO,3200436082,3610,RUB,8,RU0001
21.07.2009,01.02.2010,RU,L10705300,Parka Outdoor Lifestyle STD,VO,3200436332,2550.75,RUB,6,RU0001
24.07.2009,01.02.2010,RU,L10705300,Parka Outdoor Lifestyle STD,VO,3200436825,4417.5,RUB,10,RU0001
24.07.2009,28.01.2010,RU,L10705300,Parka Outdoor Lifestyle STD,VO,3200436827,2493.75,RUB,6,RU0001
28.07.2009,04.02.2010,RU,L10705300,Parka Outdoor Lifestyle STD,VO,3200437599,7671.25,RUB,17,RU0001
30.07.2009,24.03.2010,RU,L10705300,Parka Outdoor Lifestyle STD,VO,3200437769,2173.1,RUB,5,RU0001
07.08.2009,01.02.2010,RU,L10705300,Parka Outdoor Lifestyle STD,VO,3200438980,21612.5,RUB,50,RU0001
21.08.2009,15.03.2010,DK,L10705300,Parka Outdoor Lifestyle STD,VO,3200440731,399.36,DKK,4,DK01FR
03.09.2009,03.05.2010,IT,L10705300,Parka Outdoor Lifestyle STD,VO,3200511061,37.44,EUR,4,IT0000
08.07.2009,04.02.2010,RU,L10705400,Parka Outdoor Lifestyle STD,VO,3200435283,13148,RUB,32,RU0001
08.07.2009,28.01.2010,RU,L10705400,Parka Outdoor Lifestyle STD,VO,3200435289,2208.75,RUB,5,RU0001
13.07.2009,28.01.2010,RU,L10705400,Parka Outdoor Lifestyle STD,VO,3200435553,9348,RUB,24,RU0001
15.07.2009,01.02.2010,RU,L10705400,Parka Outdoor Lifestyle STD,VO,3200435675,2707.5,RUB,6,RU0001
16.07.2009,04.02.2010,RU,L10705400,Parka Outdoor Lifestyle STD,VO,3200435739,10032,RUB,24,RU0001
16.07.2009,04.02.2010,RU,L10705400,Parka Outdoor Lifestyle STD,VO,3200435741,3420,RUB,8,RU0001
16.07.2009,04.02.2010,RU,L10705400,Parka Outdoor Lifestyle STD,VO,3200435765,2650.5,RUB,6,RU0001
16.07.2009,15.02.2010,RU,L10705400,Parka Outdoor Lifestyle STD,VO,3200435800,11927.25,RUB,27,RU0001
17.07.2009,04.02.2010,RU,L10705400,Parka Outdoor Lifestyle STD,VO,3200435907,4061.25,RUB,9,RU0001
20.07.2009,28.01.2010,RU,L10705400,Parka Outdoor Lifestyle STD,VO,3200435947,13822.5,RUB,30,RU0001
20.07.2009,01.02.2010,RU,L10705400,Parka Outdoor Lifestyle STD,VO,3200435969,6519.37,RUB,15,RU0001
20.07.2009,04.02.2010,RU,L10705400,Parka Outdoor Lifestyle STD,VO,3200436013,2125.62,RUB,5,RU0001
20.07.2009,28.01.2010,RU,L10705400,Parka Outdoor Lifestyle STD,VO,3200436031,4227.5,RUB,10,RU0001
20.07.2009,04.02.2010,RU,L10705400,Parka Outdoor Lifestyle STD,VO,3200436071,5557.5,RUB,13,RU0001
20.07.2009,28.01.2010,RU,L10705400,Parka Outdoor Lifestyle STD,VO,3200436075,3344,RUB,8,RU0001
21.07.2009,01.02.2010,RU,L10705400,Parka Outdoor Lifestyle STD,VO,3200436332,3401,RUB,8,RU0001
24.07.2009,01.02.2010,RU,L10705400,Parka Outdoor Lifestyle STD,VO,3200436813,7220,RUB,16,RU0001
24.07.2009,28.01.2010,RU,L10705400,Parka Outdoor Lifestyle STD,VO,3200436827,3325,RUB,8,RU0001
27.07.2009,28.01.2010,RU,L10705400,Parka Outdoor Lifestyle STD,VO,3200437419,1268.25,RUB,3,RU0001
29.07.2009,28.01.2010,RU,L10705400,Parka Outdoor Lifestyle STD,VO,3200437748,4598,RUB,11,RU0001
31.07.2009,15.04.2010,RU,L10705400,Parka Outdoor Lifestyle STD,VO,3200437913,4417.5,RUB,10,RU0001
09.09.2009,08.03.2010,FI,L10705400,Parka Outdoor Lifestyle STD,VO,3200445041,38.28,EUR,4,FI01FR
09.09.2009,09.03.2010,FI,L10705400,Parka Outdoor Lifestyle STD,VO,3200445141,57.42,EUR,6,FI01FR
03.08.2009,03.05.2010,FR,L10705400,Parka Outdoor Lifestyle STD,VO,3200516117,0,EUR,\N,FR0001
27.08.2009,01.02.2010,FR,L10705400,Parka Outdoor Lifestyle STD,VO,3200516182,0,EUR,\N,FR0001
06.10.2009,15.04.2010,NL,L10705400,Parka Outdoor Lifestyle STD,VO,3200516289,0,EUR,\N,BE0001
17.08.2009,08.03.2010,CH,L10705400,Parka Outdoor Lifestyle STD,VO,3200516467,0,CHF,\N,CH0001
03.09.2009,09.03.2010,CH,L10705400,Parka Outdoor Lifestyle STD,VO,3200516522,0,CHF,\N,CH0001
28.09.2009,15.06.2010,ES,L10705400,Parka Outdoor Lifestyle STD,VO,3200516867,0,EUR,\N,SP0003
27.07.2009,05.04.2010,PT,L10705400,Parka Outdoor Lifestyle STD,VO,3200521318,0,EUR,\N,PT0001
20.08.2009,01.04.2010,ES,L10705400,Parka Outdoor Lifestyle STD,VO,3200521349,0,EUR,\N,SP0003
19.10.2009,15.04.2010,ES,L10705400,Parka Outdoor Lifestyle STD,VO,3200521489,0,EUR,\N,SP0003
20.07.2009,28.01.2010,RU,L10705500,Parka Outdoor Lifestyle STD,VO,3200435947,9215,RUB,20,RU0001
21.07.2009,01.02.2010,RU,L10705500,Parka Outdoor Lifestyle STD,VO,3200435963,2208.75,RUB,5,RU0001
20.07.2009,01.02.2010,RU,L10705500,Parka Outdoor Lifestyle STD,VO,3200435982,6519.37,RUB,15,RU0001
20.07.2009,28.01.2010,RU,L10705500,Parka Outdoor Lifestyle STD,VO,3200436075,3344,RUB,8,RU0001
20.07.2009,01.02.2010,RU,L10705500,Parka Outdoor Lifestyle STD,VO,3200436082,4061.25,RUB,9,RU0001
21.07.2009,01.02.2010,RU,L10705500,Parka Outdoor Lifestyle STD,VO,3200436155,5301,RUB,12,RU0001
24.07.2009,01.02.2010,RU,L10705500,Parka Outdoor Lifestyle STD,VO,3200436813,11281.25,RUB,25,RU0001
24.07.2009,28.01.2010,RU,L10705500,Parka Outdoor Lifestyle STD,VO,3200436827,3325,RUB,8,RU0001
24.07.2009,01.02.2010,RU,L10705500,Parka Outdoor Lifestyle STD,VO,3200436840,5301,RUB,12,RU0001
27.07.2009,28.01.2010,RU,L10705500,Parka Outdoor Lifestyle STD,VO,3200437332,2565,RUB,6,RU0001
27.07.2009,28.01.2010,RU,L10705500,Parka Outdoor Lifestyle STD,VO,3200437419,1691,RUB,4,RU0001
30.07.2009,24.03.2010,RU,L10705500,Parka Outdoor Lifestyle STD,VO,3200437769,2173.1,RUB,5,RU0001
31.07.2009,04.02.2010,RU,L10705500,Parka Outdoor Lifestyle STD,VO,3200437913,5742.75,RUB,13,RU0001
08.10.2009,01.06.2010,ES,L10705500,Parka Outdoor Lifestyle STD,VO,3200521470,20,EUR,2,SP0003
08.07.2009,28.01.2010,RU,L10705600,Parka Outdoor Lifestyle STD,VO,3200435289,2208.75,RUB,5,RU0001
15.07.2009,01.02.2010,RU,L10705600,Parka Outdoor Lifestyle STD,VO,3200435675,3158.75,RUB,7,RU0001
16.07.2009,04.02.2010,RU,L10705600,Parka Outdoor Lifestyle STD,VO,3200435741,3420,RUB,8,RU0001
16.07.2009,04.02.2010,RU,L10705600,Parka Outdoor Lifestyle STD,VO,3200435765,2650.5,RUB,6,RU0001
17.07.2009,01.02.2010,RU,L10705600,Parka Outdoor Lifestyle STD,VO,3200435912,3610,RUB,8,RU0001
21.07.2009,01.02.2010,RU,L10705600,Parka Outdoor Lifestyle STD,VO,3200435963,2208.75,RUB,5,RU0001
20.07.2009,01.02.2010,RU,L10705600,Parka Outdoor Lifestyle STD,VO,3200435969,6519.37,RUB,15,RU0001
20.07.2009,04.02.2010,RU,L10705600,Parka Outdoor Lifestyle STD,VO,3200436013,2125.62,RUB,5,RU0001
20.07.2009,04.02.2010,RU,L10705600,Parka Outdoor Lifestyle STD,VO,3200436071,2565,RUB,6,RU0001
20.07.2009,28.01.2010,RU,L10705600,Parka Outdoor Lifestyle STD,VO,3200436075,3344,RUB,8,RU0001
21.07.2009,28.01.2010,RU,L10705600,Parka Outdoor Lifestyle STD,VO,3200436140,5949.37,RUB,15,RU0001
21.07.2009,01.02.2010,RU,L10705600,Parka Outdoor Lifestyle STD,VO,3200436332,3401,RUB,8,RU0001
24.07.2009,01.02.2010,RU,L10705600,Parka Outdoor Lifestyle STD,VO,3200436813,9025,RUB,20,RU0001
24.07.2009,28.01.2010,RU,L10705600,Parka Outdoor Lifestyle STD,VO,3200436827,3325,RUB,8,RU0001
27.07.2009,28.01.2010,RU,L10705600,Parka Outdoor Lifestyle STD,VO,3200437332,3420,RUB,8,RU0001
27.07.2009,28.01.2010,RU,L10705600,Parka Outdoor Lifestyle STD,VO,3200437419,1268.25,RUB,3,RU0001
30.07.2009,24.03.2010,RU,L10705600,Parka Outdoor Lifestyle STD,VO,3200437769,2173.1,RUB,5,RU0001
31.07.2009,04.02.2010,RU,L10705600,Parka Outdoor Lifestyle STD,VO,3200437913,5742.75,RUB,13,RU0001
09.09.2009,09.03.2010,FI,L10705600,Parka Outdoor Lifestyle STD,VO,3200445097,79.28,EUR,8,FI01FR
09.09.2009,06.04.2010,FI,L10705600,Parka Outdoor Lifestyle STD,VO,3200445206,60.56,EUR,6,FI01FR
06.10.2009,08.03.2010,FI,L10705600,Parka Outdoor Lifestyle STD,VO,3200451203,57.42,EUR,6,FI01FR
19.08.2009,10.06.2010,IT,L10705600,Parka Outdoor Lifestyle STD,VO,3200494282,91.2,EUR,8,IT0000
28.09.2009,15.06.2010,ES,L10705600,Parka Outdoor Lifestyle STD,VO,3200516867,38.4,EUR,4,SP0003
08.10.2009,01.06.2010,ES,L10705600,Parka Outdoor Lifestyle STD,VO,3200521470,20,EUR,2,SP0003
08.07.2009,28.01.2010,RU,L10705700,Parka Outdoor Lifestyle STD,VO,3200435289,3092.25,RUB,7,RU0001
21.07.2009,01.02.2010,RU,L10705700,Parka Outdoor Lifestyle STD,VO,3200435963,2208.75,RUB,5,RU0001
20.07.2009,28.01.2010,RU,L10705700,Parka Outdoor Lifestyle STD,VO,3200436075,2926,RUB,7,RU0001
20.07.2009,15.02.2010,RU,L10705700,Parka Outdoor Lifestyle STD,VO,3200436077,1225.5,RUB,3,RU0001
21.07.2009,28.01.2010,RU,L10705700,Parka Outdoor Lifestyle STD,VO,3200436140,5949.37,RUB,15,RU0001
24.07.2009,28.01.2010,RU,L10705700,Parka Outdoor Lifestyle STD,VO,3200436827,3325,RUB,8,RU0001
27.07.2009,28.01.2010,RU,L10705700,Parka Outdoor Lifestyle STD,VO,3200437419,1691,RUB,4,RU0001
31.07.2009,04.02.2010,RU,L10705700,Parka Outdoor Lifestyle STD,VO,3200437913,5742.75,RUB,13,RU0001
09.09.2009,08.03.2010,FI,L10705700,Parka Outdoor Lifestyle STD,VO,3200445041,57.42,EUR,6,FI01FR
28.09.2009,15.06.2010,ES,L10705700,Parka Outdoor Lifestyle STD,VO,3200516867,28.8,EUR,3,SP0003
15.12.2009,30.09.2010,RU,L10850600,Parka Outdoor Lifestyle STD,VO,3200464717,2227.5,RUB,5,RU0001
22.12.2009,14.09.2010,RU,L10850600,Parka Outdoor Lifestyle STD,VO,3200466344,4764.32,RUB,11,RU0001
22.12.2009,03.09.2010,RU,L10850600,Parka Outdoor Lifestyle STD,VO,3200466401,2227.5,RUB,5,RU0001
23.12.2009,03.09.2010,RU,L10850600,Parka Outdoor Lifestyle STD,VO,3200466557,4982.12,RUB,11,RU0001
25.12.2009,24.08.2010,RU,L10850600,Parka Outdoor Lifestyle STD,VO,3200466992,2351.25,RUB,5,RU0001
25.12.2009,24.08.2010,RU,L10850600,Parka Outdoor Lifestyle STD,VO,3200467005,4076.28,RUB,9,RU0001
28.12.2009,24.08.2010,RU,L10850600,Parka Outdoor Lifestyle STD,VO,3200467107,3031.84,RUB,7,RU0001
28.12.2009,23.08.2010,RU,L10850600,Parka Outdoor Lifestyle STD,VO,3200467122,6583.5,RUB,14,RU0001
28.12.2009,23.08.2010,RU,L10850600,Parka Outdoor Lifestyle STD,VO,3200467125,2202.75,RUB,5,RU0001
29.12.2009,30.06.2010,RU,L10850600,Parka Outdoor Lifestyle STD,VO,3200467232,3831.3,RUB,9,RU0001
29.12.2009,30.09.2010,RU,L10850600,Parka Outdoor Lifestyle STD,VO,3200467256,11132.68,RUB,26,RU0001
29.12.2009,30.09.2010,RU,L10850600,Parka Outdoor Lifestyle STD,VO,3200467266,4900.5,RUB,11,RU0001
12.01.2010,30.09.2010,RU,L10850600,Parka Outdoor Lifestyle STD,VO,3200468348,6098.4,RUB,14,RU0001
05.02.2010,30.09.2010,RU,L10850600,Parka Outdoor Lifestyle STD,VO,3200472451,23760,RUB,60,RU0001
14.02.2010,01.08.2010,SE,L10850600,Parka Outdoor Lifestyle STD,VO,3200473046,692.76,SEK,6,SE02FR
14.02.2010,27.09.2010,SE,L10850600,Parka Outdoor Lifestyle STD,VO,3200473046,1385.52,SEK,12,SE02FR
11.02.2010,07.10.2010,RU,L10850600,Parka Outdoor Lifestyle STD,VO,3200473542,4529.3,RUB,10,RU0001
12.02.2010,30.09.2010,RU,L10850600,Parka Outdoor Lifestyle STD,VO,3200474061,2227.5,RUB,5,RU0001
14.02.2010,01.10.2010,FI,L10850600,Parka Outdoor Lifestyle STD,VO,3200474881,5.78,EUR,1,FI01FR
15.02.2010,13.09.2010,SE,L10850600,Parka Outdoor Lifestyle STD,VO,3200475777,1385.52,SEK,12,SE02FR
23.02.2010,15.09.2010,DK,L10850600,Parka Outdoor Lifestyle STD,VO,3200477672,499.2,DKK,8,DK01FR
25.02.2010,04.10.2010,NO,L10850600,Parka Outdoor Lifestyle STD,VO,3200478271,362.94,NOK,3,NO02FR
26.02.2010,04.10.2010,NO,L10850600,Parka Outdoor Lifestyle STD,VO,3200478335,124.99,NOK,1,NO02FR
